"Project","GGW Feature ID","Feature type","Feature name","NZGD1949 Longitude","NZGD1949 Latitude","Feature length","Feature length unit","Event ID","Event start date (NZST)","Sample ID","Sample date (NZST)","Sample Type","Pumping duration","Pumping rate","Sample Comments","Sample analysis received date (NZST)","Sample analysis completed date (NZST)","Parameter","Analysis ID","Analysis by","Analysis lab","Analysis Lab ID","Result ID","Field ID","Is field analysis?","Analysis comments","Parameter type","Result","Parameter units","Result type","Result comments","Analysis parameter","Equipment","Method","Parameter reference","Parameter error (absolute)","Parameter error (%)","Parameter minimum detection","Parameter maximum detection","Parameter correction","Metadata","Collection method","Clarity","Colour","Odour","Sampling protocol"
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"96. Potassium mg/L - All Forms as K -filterable, AE - high temp flame, Potassium in water by FLAA, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5383,"CENTRAL TAKAKA",false,,"Potassium mg/L - All Forms as K -filterable","0.77","mg/L","Instant",,"Potassium mg/L - All Forms as K -filterable","AE - high temp flame","Potassium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"271. Fluorine mg/L (fluoride) as F - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5898,"CENTRAL TAKAKA",false,,"Fluorine mg/L (fluoride) as F - filterable","0.05","mg/L","Instant",,"Fluorine mg/L (fluoride) as F - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"101. Silicon mg/L All forms as SiO2 - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5406,"CENTRAL TAKAKA",false,,"Silicon mg/L All forms as SiO2 - filterable","10.7","mg/L","Instant",,"Silicon mg/L All forms as SiO2 - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"269. Chloride mg/L as Cl - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5672,"CENTRAL TAKAKA",false,,"Chloride mg/L as Cl - filterable","6.5","mg/L","Instant",,"Chloride mg/L as Cl - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"272. Sulphate mg/L as SO4 - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5878,"CENTRAL TAKAKA",false,,"Sulphate mg/L as SO4 - filterable","4.6","mg/L","Instant",,"Sulphate mg/L as SO4 - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.1,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"94. Magnesium mg/L - All Forms as Mg - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5177,"CENTRAL TAKAKA",false,,"Magnesium mg/L - All Forms as Mg - filterable","3.2","mg/L","Instant",,"Magnesium mg/L - All Forms as Mg - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"97. Sodium mg/L - All Forms as Na - filterable, AE - high temp flame, Sodium in water by FLAA, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",4990,"CENTRAL TAKAKA",false,,"Sodium mg/L - All Forms as Na - filterable","4.8","mg/L","Instant",,"Sodium mg/L - All Forms as Na - filterable","AE - high temp flame","Sodium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"197. Manganese mg/L All forms as Mn - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5482,"CENTRAL TAKAKA",false,,"Manganese mg/L All forms as Mn - filterable","<0.005","mg/L","Instant",,"Manganese mg/L All forms as Mn - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.005,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"201. Calcium mg/L - All Forms as Ca - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5274,"CENTRAL TAKAKA",false,,"Calcium mg/L - All Forms as Ca - filterable","49","mg/L","Instant",,"Calcium mg/L - All Forms as Ca - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"202. Total solids (electrical conductivity) uS/cm at 25 degrees, Generic Conductivity Meter, Conductivity in water, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",4937,,false,,"Total solids (electrical conductivity) uS/cm at 25 degrees","510","uS/cm","Instant",,"Total solids (electrical conductivity) uS/cm at 25 degrees","Generic Conductivity Meter","Conductivity in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"269. Chloride mg/L as Cl - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5657,,false,,"Chloride mg/L as Cl - filterable","62","mg/L","Instant",,"Chloride mg/L as Cl - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"197. Manganese mg/L All forms as Mn - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5468,,false,,"Manganese mg/L All forms as Mn - filterable","<0.005","mg/L","Instant",,"Manganese mg/L All forms as Mn - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.005,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"271. Fluorine mg/L (fluoride) as F - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5776,,false,,"Fluorine mg/L (fluoride) as F - filterable","0.03","mg/L","Instant",,"Fluorine mg/L (fluoride) as F - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"272. Sulphate mg/L as SO4 - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5832,,false,,"Sulphate mg/L as SO4 - filterable","12.3","mg/L","Instant",,"Sulphate mg/L as SO4 - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.1,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"275. Ammonium mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",6084,,false,,"Ammonium mg/L as N - filterable","<0.01","mg/L","Instant",,"Ammonium mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.01,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"92. Bicarbonate mg/L as HCO3 - total, Glass buret, Alkalinity in water by titration, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5086,,false,,"Bicarbonate mg/L as HCO3 - total","184","mg/L","Instant",,"Bicarbonate mg/L as HCO3 - total","Glass buret","Alkalinity in water by titration","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"97. Sodium mg/L - All Forms as Na - filterable, AE - high temp flame, Sodium in water by FLAA, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5152,,false,,"Sodium mg/L - All Forms as Na - filterable","37","mg/L","Instant",,"Sodium mg/L - All Forms as Na - filterable","AE - high temp flame","Sodium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"100. Iron mg/L All forms as Fe - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5325,,false,,"Iron mg/L All forms as Fe - filterable","<0.02","mg/L","Instant",,"Iron mg/L All forms as Fe - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.02,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"221. Temperature Deg. C- analysis temperature , Unknown Equipment, Unknown method, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5381,,false,,"Temperature Deg. C- analysis temperature ","21","Deg. C","Instant",,"Temperature Deg. C- analysis temperature ","Unknown Equipment","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"96. Potassium mg/L - All Forms as K -filterable, AE - high temp flame, Potassium in water by FLAA, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5578,,false,,"Potassium mg/L - All Forms as K -filterable","3.7","mg/L","Instant",,"Potassium mg/L - All Forms as K -filterable","AE - high temp flame","Potassium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"270. Bromine mg/L (bromide) as Br - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5626,,false,,"Bromine mg/L (bromide) as Br - filterable","0.18","mg/L","Instant",,"Bromine mg/L (bromide) as Br - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.1,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"101. Silicon mg/L All forms as SiO2 - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5435,,false,,"Silicon mg/L All forms as SiO2 - filterable","6.2","mg/L","Instant",,"Silicon mg/L All forms as SiO2 - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"273. Nitrate mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5860,,false,,"Nitrate mg/L as N - filterable","0.37","mg/L","Instant",,"Nitrate mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"274. Phosphorus mg/L as P- Reactive - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5983,,false,,"Phosphorus mg/L as P- Reactive - filterable","<0.05","mg/L","Instant",,"Phosphorus mg/L as P- Reactive - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"201. Calcium mg/L - All Forms as Ca - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5070,,false,,"Calcium mg/L - All Forms as Ca - filterable","55","mg/L","Instant",,"Calcium mg/L - All Forms as Ca - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"53. Weather, Observation by a person, Unknown method, Measured",29440,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6345,,true,,"Weather","Fine, 1% cloud, light NE wind",,"Instant",,"Weather","Observation by a person","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"94. Magnesium mg/L - All Forms as Mg - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5191,,false,,"Magnesium mg/L - All Forms as Mg - filterable","6.4","mg/L","Instant",,"Magnesium mg/L - All Forms as Mg - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",7,"Unspecified Spring","Te Waikoropupu Main Spring",172.76852622603863,-40.849844467599894,,,11786,2003-03-24 13:00:00.0,18483,2003-03-24 13:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"90. Acidity pH units, Ph meter, pH in water, Measured",29243,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300539",5158,,false,,"Acidity pH units","7.72","pH","Instant",,"Acidity pH units","Ph meter","pH in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
