"","DataID","LabRefNo","CollectionDate","CollectionTime","FieldID","TestName","Units","Method","Result","SiteName","SiteID","HilltopDataSource","InformationSource","CollectedOn","NonDetect","ResultNumeric","SampleTypeID"
"44",18488,29248,2003-03-25,"11:45:00","WWD802","Manganese mg/L All forms as Mn - filterable","mg/L","Metals in water by ICP","<0.005","GW 802 - Waiwest","913","Dissolved Manganese","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","<","0.005",1
"45",18488,29248,2003-03-25,"11:45:00","WWD802","Nitrate mg/L as N - filterable","mg/L","Anions in water by ion chromatography","4.8","GW 802 - Waiwest","913","Nitrate-N (IC) GNS","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","4.8",1
"46",18488,29248,2003-03-25,"11:45:00","WWD802","Fluorine mg/L (fluoride) as F - filterable","mg/L","Anions in water by ion chromatography","0.04","GW 802 - Waiwest","913","Fluoride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","0.04",1
"47",18488,29248,2003-03-25,"11:45:00","WWD802","Magnesium mg/L - All Forms as Mg - filterable","mg/L","Metals in water by ICP","8.9","GW 802 - Waiwest","913","Dissolved Magnesium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","8.9",1
"48",18488,29248,2003-03-25,"11:45:00","WWD802","Acidity pH units","pH","pH in water","6.79","GW 802 - Waiwest","913","pH","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","6.79",1
"49",18488,29248,2003-03-25,"11:45:00","WWD802","Chloride mg/L as Cl - filterable","mg/L","Anions in water by ion chromatography","14.9","GW 802 - Waiwest","913","Chloride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","14.9",1
"50",18488,29248,2003-03-25,"11:45:00","WWD802","Bicarbonate mg/L as HCO3 - total","mg/L","Alkalinity in water by titration","69","GW 802 - Waiwest","913","Alkalinity (HCO3)","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","69",1
"51",18488,29248,2003-03-25,"11:45:00","WWD802","Total solids (electrical conductivity) uS/cm at 25 degrees","uS/cm","Conductivity in water","180","GW 802 - Waiwest","913","Conductivity @ 25 deg C","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","180",1
"53",18488,29248,2003-03-25,"11:45:00","WWD802","Silicon mg/L All forms as SiO2 - filterable","mg/L","Metals in water by ICP","15.2","GW 802 - Waiwest","913","Silica","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","15.2",1
"54",18488,29248,2003-03-25,"11:45:00","WWD802","Calcium mg/L - All Forms as Ca - filterable","mg/L","Metals in water by ICP","13.0","GW 802 - Waiwest","913","Dissolved Calcium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-25 11:45:00.0","NULL","13.0",1
"55",18486,29246,2003-03-26,"09:35:00","WWD32","Manganese mg/L All forms as Mn - filterable","mg/L","Metals in water by ICP","<0.005","GW 32 - TDC","885","Dissolved Manganese","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","<","0.005",1
"56",18486,29246,2003-03-26,"09:35:00","WWD32","Fluorine mg/L (fluoride) as F - filterable","mg/L","Anions in water by ion chromatography","0.03","GW 32 - TDC","885","Fluoride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","0.03",1
"57",18486,29246,2003-03-26,"09:35:00","WWD32","Potassium mg/L - All Forms as K -filterable","mg/L","Potassium in water by FLAA","0.82","GW 32 - TDC","885","Dissolved Potassium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","0.82",1
"58",18486,29246,2003-03-26,"09:35:00","WWD32","Iron mg/L All forms as Fe - filterable","mg/L","Metals in water by ICP","<0.02","GW 32 - TDC","885","Dissolved Iron","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","<","0.02",1
"59",18486,29246,2003-03-26,"09:35:00","WWD32","Bicarbonate mg/L as HCO3 - total","mg/L","Alkalinity in water by titration","105","GW 32 - TDC","885","Alkalinity (HCO3)","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","105",1
"60",18486,29246,2003-03-26,"09:35:00","WWD32","Calcium mg/L - All Forms as Ca - filterable","mg/L","Metals in water by ICP","19.9","GW 32 - TDC","885","Dissolved Calcium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","19.9",1
"61",18486,29246,2003-03-26,"09:35:00","WWD32","Chloride mg/L as Cl - filterable","mg/L","Anions in water by ion chromatography","21","GW 32 - TDC","885","Chloride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","21",1
"62",18486,29246,2003-03-26,"09:35:00","WWD32","Ammonium mg/L as N - filterable","mg/L","Anions in water by ion chromatography","<0.01","GW 32 - TDC","885","Total Ammonia","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","<","0.01",1
"64",18486,29246,2003-03-26,"09:35:00","WWD32","Sodium mg/L - All Forms as Na - filterable","mg/L","Sodium in water by FLAA","10.0","GW 32 - TDC","885","Dissolved Sodium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","10.0",1
"65",18486,29246,2003-03-26,"09:35:00","WWD32","Acidity pH units","pH","pH in water","7.56","GW 32 - TDC","885","pH","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","7.56",1
"66",18486,29246,2003-03-26,"09:35:00","WWD32","Nitrate mg/L as N - filterable","mg/L","Anions in water by ion chromatography","13.1","GW 32 - TDC","885","Nitrate-N (IC) GNS","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","13.1",1
"67",18486,29246,2003-03-26,"09:35:00","WWD32","Phosphorus mg/L as P- Reactive - filterable","mg/L","Anions in water by ion chromatography","<0.05","GW 32 - TDC","885","Dissolved Reactive Phosphorus","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","<","0.05",1
"68",18486,29246,2003-03-26,"09:35:00","WWD32","Silicon mg/L All forms as SiO2 - filterable","mg/L","Metals in water by ICP","29","GW 32 - TDC","885","Silica","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","29",1
"69",18486,29246,2003-03-26,"09:35:00","WWD32","Magnesium mg/L - All Forms as Mg - filterable","mg/L","Metals in water by ICP","29","GW 32 - TDC","885","Dissolved Magnesium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","29",1
"70",18486,29246,2003-03-26,"09:35:00","WWD32","Total solids (electrical conductivity) uS/cm at 25 degrees","uS/cm","Conductivity in water","390","GW 32 - TDC","885","Conductivity @ 25 deg C","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","390",1
"71",18486,29246,2003-03-26,"09:35:00","WWD32","Sulphate mg/L as SO4 - filterable","mg/L","Anions in water by ion chromatography","22","GW 32 - TDC","885","Sulphate","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","NULL","22",1
"72",18486,29246,2003-03-26,"09:35:00","WWD32","Bromine mg/L (bromide) as Br - filterable","mg/L","Anions in water by ion chromatography","<0.10","GW 32 - TDC","885","Bromide","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 09:35:00.0","<","0.10",1
"74",18487,29247,2003-03-26,"11:40:00","WWD3115","Phosphorus mg/L as P- Reactive - filterable","mg/L","Anions in water by ion chromatography","0.05","GW 3115 - Drummond","396","Dissolved Reactive Phosphorus","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","0.05",1
"75",18487,29247,2003-03-26,"11:40:00","WWD3115","Iron mg/L All forms as Fe - filterable","mg/L","Metals in water by ICP","0.64","GW 3115 - Drummond","396","Dissolved Iron","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","0.64",1
"76",18487,29247,2003-03-26,"11:40:00","WWD3115","Bicarbonate mg/L as HCO3 - total","mg/L","Alkalinity in water by titration","89","GW 3115 - Drummond","396","Alkalinity (HCO3)","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","89",1
"77",18487,29247,2003-03-26,"11:40:00","WWD3115","Ammonium mg/L as N - filterable","mg/L","Anions in water by ion chromatography","0.05","GW 3115 - Drummond","396","Total Ammonia","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","0.05",1
"78",18487,29247,2003-03-26,"11:40:00","WWD3115","Sulphate mg/L as SO4 - filterable","mg/L","Anions in water by ion chromatography","26","GW 3115 - Drummond","396","Sulphate","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","26",1
"79",18487,29247,2003-03-26,"11:40:00","WWD3115","Bromine mg/L (bromide) as Br - filterable","mg/L","Anions in water by ion chromatography","<0.10","GW 3115 - Drummond","396","Bromide","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","<","0.10",1
"80",18487,29247,2003-03-26,"11:40:00","WWD3115","Silicon mg/L All forms as SiO2 - filterable","mg/L","Metals in water by ICP","25","GW 3115 - Drummond","396","Silica","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","25",1
"81",18487,29247,2003-03-26,"11:40:00","WWD3115","Sodium mg/L - All Forms as Na - filterable","mg/L","Sodium in water by FLAA","5.9","GW 3115 - Drummond","396","Dissolved Sodium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","5.9",1
"82",18487,29247,2003-03-26,"11:40:00","WWD3115","Nitrate mg/L as N - filterable","mg/L","Anions in water by ion chromatography","0.04","GW 3115 - Drummond","396","Nitrate-N (IC) GNS","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","0.04",1
